OBJECTID,POST_ID,MS_SPACE_NUM,ON_OFFSTREET_TYPE,JURISDICTION,PM_DISTRICT_ID,BLOCKFACE_ID,ACTIVE_METER_FLAG,REASON_CODE,METER_TYPE,METER_VENDOR,METER_MODEL,CAP_COLOR,STREET_ID,STREET_NAME,STREET_NUM,STREET_SEG_CTRLN_ID,LONGITUDE,LATITUDE,WORK_ORDER,COLLECTION_ROUTE,COLLECTION_SUBROUTE,PMR_ROUTE,COLLECTION_ROUTE_DESC,COLLECTION_SUBROUTE_DESC,shape,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,ON_OFFSTREET_TYPE_DESC,METER_STATUS,METER_TYPE_DESC,GEO_POINT,LOCATION_GRID,IS_ACTIVE,IS_TEMPORARY,PARKING_ZONE
150183,205-03120,0,ON,SFMTA,2.0,205032,U,U9,-,-,-,-,205.0,05TH ST,312.0,299000.0,-122.4030617994,37.7798804984,,,,N-4,,,POINT (-122.403061799 37.779880498),South of Market,6,34,32,32,1,10,ON_STREET,Unmetered,Unknown,POINT(-122.4030617994 37.7798804984),-122.403_37.78,False,False,2.0_South of Market_6
150453,593-07300,0,ON,SFMTA,15.0,593072,M,-,SS,IPS,M5,Grey,593.0,O'FARRELL ST,730.0,9733000.0,-122.4173274019,37.7853052997,,113,113-2,E-1,Post - Geary - O Farrell,Post-Geary-Offarrell,POINT (-122.417327402 37.7853053),Tenderloin,5,36,20,20,5,10,ON_STREET,Active,Single-space,POINT(-122.4173274019 37.7853052997),-122.417_37.785,True,False,15.0_Tenderloin_5
150473,330-05600,0,ON,SFMTA,2.0,330052,U,U2,-,-,-,-,330.0,BRANNAN ST,560.0,3080000.0,-122.398147199,37.7771693998,,,,N-4,,,POINT (-122.398147199 37.7771694),South of Market,6,34,32,32,1,10,ON_STREET,Unmetered,Unknown,POINT(-122.398147199 37.7771693998),-122.398_37.777,False,False,2.0_South of Market_6
151030,470-09390,0,ON,SFMTA,14.0,470091,M,UV,SS,IPS,M5,Grey,470.0,HOWARD ST,939.0,7042000.0,-122.4057868009,37.7807080996,,DPT MOS,DPT MOS,N-3,,,POINT (-122.405786801 37.7807081),South of Market,6,34,32,32,1,10,ON_STREET,Active,Single-space,POINT(-122.4057868009 37.7807080996),-122.406_37.781,True,False,14.0_South of Market_6
151119,210-00620,0,ON,SFMTA,14.0,210002,U,U1,SS,IPS,M5,Grey,210.0,10TH ST,62.0,483000.0,-122.4161055998,37.7753127021,,,,N-2,,,POINT (-122.4161056 37.775312702),South of Market,6,34,32,32,5,10,ON_STREET,Unmetered,Single-space,POINT(-122.4161055998 37.7753127021),-122.416_37.775,False,False,14.0_South of Market_6
151538,700-02010,0,ON,SFMTA,16.0,700021,U,U1,-,-,-,-,700.0,VALENCIA ST,201.0,13054000.0,-122.4222448018,37.7697472022,,,,R-2,,,POINT (-122.422244802 37.769747202),Mission,9,20,53,53,3,2,ON_STREET,Unmetered,Unknown,POINT(-122.4222448018 37.7697472022),-122.422_37.77,False,False,16.0_Mission_9
151736,686-02460,0,ON,SFMTA,13.0,686022,U,U1,-,-,-,-,686.0,TURK ST,246.0,12718000.0,-122.4139316973,37.7828728993,,,,J-1,,,POINT (-122.413931697 37.782872899),Tenderloin,5,36,20,20,5,10,ON_STREET,Unmetered,Unknown,POINT(-122.4139316973 37.7828728993),-122.414_37.783,False,False,13.0_Tenderloin_5
151874,223-32040,0,ON,SFMTA,4.0,223322,M,-,SS,MacKay,mkBeacon,Green,223.0,23RD ST,3204.0,1263000.0,-122.4167473015,37.7539944992,,302,302-1,R-4,Mission St: 2500 - 2700,Mission 2500-2700,POINT (-122.416747302 37.753994499),Mission,9,20,53,53,3,2,ON_STREET,Active,Single-space,POINT(-122.4167473015 37.7539944992),-122.417_37.754,True,False,4.0_Mission_9
151921,725-00570,0,ON,SFMTA,10.0,725001,U,U6,-,IPS,M5,Blue,725.0,WEST PORTAL AVE,57.0,13577101.0,-122.4667163023,37.7398313013,,,,A-1,,,POINT (-122.466716302 37.739831301),West of Twin Peaks,7,41,46,46,10,8,ON_STREET,Unmetered,Unknown,POINT(-122.4667163023 37.7398313013),-122.467_37.74,False,False,10.0_West of Twin Peaks_7
152271,440-18300,0,ON,SFMTA,5.0,440182,U,U9,SS,IPS,M5,Grey,440.0,GEARY BLVD,1830.0,6041203.0,-122.4338918978,37.7844416005,,,,C-3,,,POINT (-122.433891898 37.784441601),Japantown,5,15,103,103,4,11,ON_STREET,Unmetered,Single-space,POINT(-122.4338918978 37.7844416005),-122.434_37.784,False,False,5.0_Japantown_5
