route_id,collection_route_desc,collection_subroute,collection_subroute_desc,pmr_route
1,,,,N-4
2,Post - Geary - O Farrell,113-2,Post-Geary-Offarrell,E-1
3,,DPT MOS,,N-3
4,,,,N-2
5,,,,R-2
6,,,,J-1
7,Mission St: 2500 - 2700,302-1,Mission 2500-2700,R-4
8,,,,A-1
9,,,,C-3
10,,,,R-3
11,,,,B-1
12,,,,H-1
13,,,,G-4
14,,DPT MOS,,G-2
15,,DPT MOS,,R-2
16,,,,E-1
17,,,,N-3
18,,,,C-4
19,,,,E-4
20,,,,J-4
21,,,,I-3
22,,,,A-5
23,,,,E-3
24,,,,M-1
25,,DPT MOS,,M-2
26,,,,M-2
27,,,,O-2
28,,DPT MOS,,N-2
29,,,,M-3
30,,,,N-1
31,,,,R-5
32,,,,O-3
33,,DPT MOS,,N-4
34,,,,O-1
35,,,,G-3
36,,DPT MOS,,G-3
37,,DPT MOS,,J-1
38,,,,Port 3
39,,,,D-2
40,,DPT MOS,,C-1
41,,DPT MOS,,F-2
42,,DPT MOS,,M-1
43,,DPT MOS,,B-3
44,,DPT MOS,,R-3
45,Fishermans Wharf,M201-53,JONES ST 2600,F-1
46,,DPT MOS,,N-1
47,,,,I-1
48,Geary St: 2400 - 4800,126-3,Geary2600-3100,B-1
49,,,,J-5
50,,,,S-1
51,Elm St: 100,425-1,Elm,E-3
52,,,,J-2
53,,,,D-1
54,,DPT MOS,,J-3
55,,,,C-1
56,Pacific St: Broadway St,135-1,Pacific 1500-1700,D-2
57,,,,Port 2
58,,,,F-1
59,Fishermans Wharf,201-52,Fishermans Wharf,F-1
60,,,,Port 1
61,Van Ness Ave: 200 - 2100,410-3,Van Ness 600,D-2
62,,DPT MOS,,H-1
63,EDDY ST,M402,,E-4
64,16th St: 3000,M335-2,15TH ST,R-2
65,,M418,,N-2
66,Ocean Ave: 1000 - 1900,318-1,Ocean 1000-1700,O-1
67,Larkin St: 100 - 300,M-414,"Larkin St. 100, 300",J-4
68,Union St:1500-2200 Fillmore St,215-1,Union,F-2
69,Divisadero St: Sacramento St,103-3,Divisadero - Sacramento,C-2
70,Howard St: Unit - 600 Bryan St,404-1,Howard Unit-600,M-2
71,Ellis St: Unit - 900,415-2,Ellis Unit-300,E-4
72,Taraval St: 400 - 1800,321-2,Taraval,A-2
73,Mission St: 2100 - 2400,334-2,Mission 2100-2400,R-3
74,West Portal Ave: Unit - 300,320-2,West Portal,A-1
75,Geary St: 5000 - 5200,118-1,Geary,B-3
76,Broadway St: Unit - 800,203-4,Battery: 800 - 1200,G-1
77,Clay St: 100 - 900,213-1,Clay: 100 - 900,I-4
78,Fishermans Wharf,201-53,Fishermans Wharf,F-1
79,24 St (Lower): 2700 - 3300,303-1,24th St Lower,R-4
80,Fishermans Wharf,201-51,Fishermans Wharf,F-1
81,Inner Irving St: 1800 - 2500,120-1,Outer Irving,A-5
82,Turk St: 100 - 900,416-2,Turk Unit-700,J-3
83,California: Unit - 900 Pine St,210-3,Pine: Unit - 600,I-2
84,San Bruno Ave: 2400 - 2700,310-1,San Bruno,O-4
85,Noriega St: 2300 - 2500,332-1,Noriega 30th Ave - 34th Ave,A-2
86,Clement St at 9th Ave: Lot,910,9th Ave Clement Lot,B-2
87,Union St:1500-2200 Fillmore St,215-2,Filbert/Fillmore/Greenwich/Pix,F-2
88,Townsend St: Unit-300 King St,419-51,SBC Park: Townsend Unit-200,M-3
89,Franklin St: 500,M409-2,FRANKLIN ST,J-5
90,Powell St: 1000 - 1700,206-2,Powell: 1000 - 1700,I-4
91,Elm St: 100,425-1,Elm,J-3
92,Gough St: Unit - 500,411-1,Gough Unit-400,J-5
93,24 St (Lower): 2700 - 3300,303-2,24th St Lower,R-4
94,Mission St: 1700 - 2000,335-2,Mission 1700-2000,R-2
95,Van Ness Ave: 200 - 2100,410-3,Van Ness 600,J-4
96,Clement St: Unit - 1100,125-2,Clement,B-2
97,Geary St: 2400 - 4800,126-3,Geary2600-3100,B-2
98,Grove St: Fulton St: McAlliste,M401-2,"Grove St: Unit, 100, 300",J-4
99,Broadway St: Unit - 800,203-2,Broadway,G-1
100,Mission St: 3100 - 3500,307-2,29th / Duncan / Mission / Valenc,R-5
101,Columbus Ave: Unit - 1100,202-1,Columbus,G-4
102,Mission St: Mint St,M403-1,Mission St: 200,M-1
103,Mission St: 2800 - 3000,306-1,25th / 26h / Cesar Chavez / Miss,R-5
104,Mission St: 4300 - 5300,316-1,Mission - Geneva,O-2
105,Geary St: 5000 - 5200,118-2,Geary,B-4
106,,,,J-3
107,Brannan St: 200 - 500,427-52,5th & Brannan,M-3
108,Polk St: 100 - 2400,412-1,Polk 1800-2400,D-2
109,Hyde St: Unit - 1000,413-2,Hyde Unit-600,E-1
110,HERROSON 1100,M418,HERRISON 1100,N-2
111,Folsom St: Main St: Spear St:,M405-1,"Main St: Unit, 200",M-1
112,Grant Ave: Unit -1500,204-3,Grant: 400 - 1100,I-4
113,Fillmore Flats: 1000 - 1500,102-51,Fillmore Flats,C-3
114,Gough St: Unit - 500,411-2,Hayes / Fell / Oak,J-5
115,Montgomery St: Unit - 600,221-1,Montgomery: Unit - 600,I-2
116,Howard St: 800 - 1600,431-2,Howard 1400-900,N-3
117,,DPT MOS,,C-3
118,24th St (Inner):  3700 - 4100,304-62,24th St/Castro/Church/Noe,O-3
119,Geary St: 5000 - 5200,118-1,Geary,B-4
120,Harrison St: 600,M430-2,Harrison St: 600 Stillman St: 10,M-3
121,4th St: Unit 400 5th St:,407-3,Harrison - 1000,N-4
122,Valencia 24th St 400 - 1200,301-1,Valencia: McCoppin - 24th St,R-3
123,,100,,R-2
124,18th and Collingwood lot,M918-1,18th and Collingwood lot,R-1
125,Washington St: 200 - 400,M222-1,Washington St. 400,G-2
126,Clay St: 100 - 900,213-2,Clay: 100 - 900,I-4
127,Sansome St: Unit-800 Battery S,205-1,Sansome: Unit - 800 Halleck,G-1
128,South Embarcadero,614-2,South Embarcadero 400-700,Port 2
129,Drumm St: 200,M225-1,Drumm St: 200,G-2
130,Taraval St: 400 - 1800,321-1,Taraval,A-2
131,South Sea Wall Port,617-1,Spear Street | 400,Port 2
132,Broadway St: Unit - 800,203-3,Battery: 800 - 1200 Sansome,G-1
133,San Bruno Ave: 2400 - 2700,310-2,San Bruno,O-4
134,Market St: 1600-2300 Castro St,305-2,19th St / Castro / Market,R-1
135,Pacific St: Broadway St,135-2,Pacific 1500-1700,D-2
136,Grant Street Port,615-1,Davis/Front/Union Streets | 700/1000/Unit,Port 1
