district_id,pm_district_id,analysis_neighborhood,supervisor_district,analysis_neighborhoods_id,neighborhoods_id,sf_find_neighborhoods_id,current_police_districts_id,current_supervisor_districts_id
1,2.0,South of Market,6,34,32,32,1,10
2,15.0,Tenderloin,5,36,20,20,5,10
3,14.0,South of Market,6,34,32,32,1,10
4,14.0,South of Market,6,34,32,32,5,10
5,16.0,Mission,9,20,53,53,3,2
6,13.0,Tenderloin,5,36,20,20,5,10
7,4.0,Mission,9,20,53,53,3,2
8,10.0,West of Twin Peaks,7,41,46,46,10,8
9,5.0,Japantown,5,15,103,103,4,11
10,20.0,Presidio Heights,2,31,11,11,8,6
11,16.0,Hayes Valley,6,9,26,26,4,11
12,12.0,North Beach,3,23,106,106,6,3
13,5.0,Japantown,5,15,101,101,4,11
14,14.0,Mission,9,20,53,53,3,2
15,5.0,Pacific Heights,2,30,102,102,4,6
16,15.0,Tenderloin,5,36,20,20,4,10
17,13.0,Tenderloin,5,36,21,21,5,10
18,1.0,Tenderloin,3,36,19,19,6,3
19,24.0,Sunset/Parkside,4,35,39,39,10,7
20,1.0,Financial District/South Beach,6,8,108,108,1,10
21,1.0,Financial District/South Beach,6,8,32,32,1,10
22,35.0,Outer Mission,11,28,80,80,9,1
23,2.0,Financial District/South Beach,6,8,31,31,1,10
24,3.0,Tenderloin,6,36,21,21,4,10
25,14.0,Mission,6,20,32,32,5,10
26,29.0,Mission,8,20,53,53,3,5
27,30.0,Bernal Heights,9,2,83,83,9,2
28,31.0,West of Twin Peaks,7,41,62,62,10,8
29,12.0,Chinatown,3,6,104,104,6,3
30,14.0,Mission,6,20,32,32,1,10
31,3.0,Tenderloin,5,36,21,21,4,10
32,2.0,Mission Bay,6,4,34,34,1,10
33,24.0,Inner Sunset,7,14,109,109,10,7
34,15.0,Russian Hill,3,32,105,105,4,3
35,18.0,Japantown,2,15,103,103,8,11
36,7.0,Marina,2,13,14,14,4,6
37,1.0,Financial District/South Beach,6,8,108,108,6,10
38,4.0,Mission,9,20,52,52,3,5
39,4.0,Mission,9,20,37,37,3,5
40,17.0,Hayes Valley,5,9,23,23,4,11
41,21.0,Outer Richmond,1,29,5,5,8,4
42,6.0,North Beach,3,23,99,99,6,3
43,1.0,Financial District/South Beach,3,8,108,108,6,3
44,1.0,Chinatown,3,6,108,108,6,3
45,20.0,Lone Mountain/USF,2,18,12,12,8,4
46,14.0,Hayes Valley,6,9,26,26,4,11
47,42.0,South of Market,6,34,33,33,1,10
48,15.0,Japantown,2,15,100,100,4,11
49,2.0,Financial District/South Beach,6,8,32,32,1,10
50,1.0,South of Market,6,34,32,32,1,10
51,13.0,Tenderloin,3,36,50,50,6,3
52,15.0,Nob Hill,3,21,50,50,6,3
53,21.0,Outer Richmond,1,29,8,8,8,4
54,12.0,Chinatown,3,6,106,106,6,3
55,18.0,Japantown,5,15,103,103,4,11
56,2.0,Financial District/South Beach,6,8,30,30,1,10
57,1.0,Chinatown,3,6,106,106,6,3
58,44.0,Mission Bay,6,4,34,34,1,10
59,39.0,Hayes Valley,5,9,26,26,4,11
60,15.0,Pacific Heights,2,30,102,102,4,6
61,3.0,Hayes Valley,5,9,22,22,4,11
62,3.0,Western Addition,2,39,100,100,4,11
63,36.0,West of Twin Peaks,7,41,67,67,10,8
64,3.0,Tenderloin,6,36,21,21,5,10
65,8.0,Marina,2,13,15,15,4,6
66,19.0,Presidio Heights,2,31,10,10,8,6
67,26.0,Sunset/Parkside,4,35,40,40,10,7
68,15.0,Tenderloin,3,36,50,50,4,3
69,15.0,Western Addition,2,39,100,100,4,11
70,12.0,Financial District/South Beach,3,8,77,77,6,3
71,33.0,Portola,9,25,91,91,2,2
72,25.0,Sunset/Parkside,4,35,39,39,10,7
73,9.0,Inner Richmond,1,11,5,5,8,4
74,15.0,Nob Hill,3,21,105,105,4,3
75,2.0,Mission Bay,6,4,31,31,1,10
76,3.0,Hayes Valley,6,9,21,21,4,11
77,3.0,Hayes Valley,5,9,21,21,4,11
78,29.0,Bernal Heights,9,2,83,83,9,2
79,12.0,Chinatown,3,6,107,107,6,3
80,29.0,Mission,9,20,53,53,3,2
81,35.0,Excelsior,11,7,58,58,9,1
82,17.0,Hayes Valley,5,9,24,24,7,11
83,3.0,Western Addition,5,39,100,100,4,11
84,1.0,Financial District/South Beach,3,8,104,104,6,3
85,5.0,Western Addition,5,39,97,97,4,11
86,1.0,Financial District/South Beach,3,8,19,19,6,3
