location_id,longitude,latitude,geo_point,location_grid
1,-122.4030617994,37.7798804984,POINT(-122.4030617994 37.7798804984),-122.403_37.78
2,-122.4173274019,37.7853052997,POINT(-122.4173274019 37.7853052997),-122.417_37.785
3,-122.398147199,37.7771693998,POINT(-122.398147199 37.7771693998),-122.398_37.777
4,-122.4057868009,37.7807080996,POINT(-122.4057868009 37.7807080996),-122.406_37.781
5,-122.4161055998,37.7753127021,POINT(-122.4161055998 37.7753127021),-122.416_37.775
6,-122.4222448018,37.7697472022,POINT(-122.4222448018 37.7697472022),-122.422_37.77
7,-122.4139316973,37.7828728993,POINT(-122.4139316973 37.7828728993),-122.414_37.783
8,-122.4167473015,37.7539944992,POINT(-122.4167473015 37.7539944992),-122.417_37.754
9,-122.4667163023,37.7398313013,POINT(-122.4667163023 37.7398313013),-122.467_37.74
10,-122.4338918978,37.7844416005,POINT(-122.4338918978 37.7844416005),-122.434_37.784
11,-122.4209909027,37.7566974004,POINT(-122.4209909027 37.7566974004),-122.421_37.757
12,-122.4514849984,37.7820764006,POINT(-122.4514849984 37.7820764006),-122.451_37.782
13,-122.4224071984,37.7730668996,POINT(-122.4224071984 37.7730668996),-122.422_37.773
14,-122.4052368027,37.7979671982,POINT(-122.4052368027 37.7979671982),-122.405_37.798
15,,,,
16,-122.417701598,37.7651012976,POINT(-122.417701598 37.7651012976),-122.418_37.765
17,-122.4281976015,37.7851087999,POINT(-122.4281976015 37.7851087999),-122.428_37.785
18,-122.4132682976,37.7837910027,POINT(-122.4132682976 37.7837910027),-122.413_37.784
19,-122.4199273006,37.7667866972,POINT(-122.4199273006 37.7667866972),-122.42_37.767
20,-122.4049219002,37.778931102600005,POINT(-122.4049219002 37.778931102600005),-122.405_37.779
21,-122.4327089441,37.7900571603,POINT(-122.4327089441 37.7900571603),-122.433_37.79
22,-122.4191391,37.7833477006,POINT(-122.4191391 37.7833477006),-122.419_37.783
23,-122.4141277168,37.7808085025,POINT(-122.4141277168 37.7808085025),-122.414_37.781
24,-122.4081384167,37.7865720053,POINT(-122.4081384167 37.7865720053),-122.408_37.787
25,-122.4118616019,37.7738350005,POINT(-122.4118616019 37.7738350005),-122.412_37.774
26,-122.4793222991,37.7632748027,POINT(-122.4793222991 37.7632748027),-122.479_37.763
27,-122.4122969021,37.7830803011,POINT(-122.4122969021 37.7830803011),-122.412_37.783
28,-122.4195989982,37.7856229012,POINT(-122.4195989982 37.7856229012),-122.42_37.786
29,-122.394219998,37.7900669024,POINT(-122.394219998 37.7900669024),-122.394_37.79
30,-122.3963263982,37.7884028991,POINT(-122.3963263982 37.7884028991),-122.396_37.788
31,-122.3969870989,37.7885866974,POINT(-122.3969870989 37.7885866974),-122.397_37.789
32,-122.4414975196,37.7159843051,POINT(-122.4414975196 37.7159843051),-122.441_37.716
33,-122.4110115492,37.77680521400001,POINT(-122.4110115492 37.77680521400001),-122.411_37.777
34,-122.4115204026,37.776028701,POINT(-122.4115204026 37.776028701),-122.412_37.776
35,-122.3922050106,37.7794052926,POINT(-122.3922050106 37.7794052926),-122.392_37.779
36,-122.4180073028,37.7777294003,POINT(-122.4180073028 37.7777294003),-122.418_37.778
37,-122.4173853284,37.774425839,POINT(-122.4173853284 37.774425839),-122.417_37.774
38,-122.4110629016,37.7756608975,POINT(-122.4110629016 37.7756608975),-122.411_37.776
39,-122.4108304993,37.7842207988,POINT(-122.4108304993 37.7842207988),-122.411_37.784
40,-122.4146815147,37.7760829029,POINT(-122.4146815147 37.7760829029),-122.415_37.776
41,-122.420558402,37.7499159992,POINT(-122.420558402 37.7499159992),-122.421_37.75
42,-122.4187,37.7643650983,POINT(-122.4187 37.7643650983),-122.419_37.764
43,-122.4154215024,37.7390110985,POINT(-122.4154215024 37.7390110985),-122.415_37.739
44,-122.4001730994,37.7775779002,POINT(-122.4001730994 37.7775779002),-122.4_37.778
45,-122.4745673013,37.73205039730001,POINT(-122.4745673013 37.73205039730001),-122.475_37.732
46,-122.4126421974,37.7829116014,POINT(-122.4126421974 37.7829116014),-122.413_37.783
47,-122.4081418027,37.7948043988,POINT(-122.4081418027 37.7948043988),-122.408_37.795
48,-122.4192130004,37.7744962991,POINT(-122.4192130004 37.7744962991),-122.419_37.774
49,-122.4130005014,37.7730695986,POINT(-122.4130005014 37.7730695986),-122.413_37.773
50,-122.4201663022,37.7692803972,POINT(-122.4201663022 37.7692803972),-122.42_37.769
