object_id,post_id,ms_space_num,active_meter_flag,reason_code,cap_color,work_order,meter_status,is_active,is_temporary,shape,meter_type_id,street_type_id,location_id,district_id,street_id,route_id,vendor_id,zone_id
150183,205-03120,0,U,U9,-,,Unmetered,0,0,POINT (-122.403061799 37.779880498),1,1,1,267,205.0,739,1,1
150453,593-07300,0,M,-,Grey,,Active,1,0,POINT (-122.417327402 37.7853053),2,1,2,278,593.0,417,2,2
150473,330-05600,0,U,U2,-,,Unmetered,0,0,POINT (-122.398147199 37.7771694),1,1,3,267,330.0,739,1,1
151030,470-09390,0,M,UV,Grey,,Active,1,0,POINT (-122.405786801 37.7807081),2,1,4,218,470.0,845,2,3
151119,210-00620,0,U,U1,Grey,,Unmetered,0,0,POINT (-122.4161056 37.775312702),2,1,5,218,210.0,739,2,3
151538,700-02010,0,U,U1,-,,Unmetered,0,0,POINT (-122.422244802 37.769747202),1,1,6,273,700.0,739,1,4
151736,686-02460,0,U,U1,-,,Unmetered,0,0,POINT (-122.413931697 37.782872899),1,1,7,220,686.0,739,1,5
151874,223-32040,0,M,-,Green,,Active,1,0,POINT (-122.416747302 37.753994499),2,1,8,186,223.0,447,3,6
151921,725-00570,0,U,U6,Blue,,Unmetered,0,0,POINT (-122.466716302 37.739831301),1,1,9,8,725.0,739,2,7
152271,440-18300,0,U,U9,Grey,,Unmetered,0,0,POINT (-122.433891898 37.784441601),2,1,10,276,440.0,739,2,8
152453,700-10050,0,U,UB,Grey,,Unmetered,0,0,POINT (-122.420990903 37.7566974),2,1,11,186,700.0,739,2,6
152725,440-30060,0,U,U5,Grey,,Unmetered,0,0,POINT (-122.451484998 37.782076401),2,1,12,193,440.0,739,2,9
152804,462-00010,0,U,U8,-,,Unmetered,0,0,POINT (-122.422407198 37.7730669),1,1,13,273,462.0,739,1,10
152884,327-04410,0,U,U1,-,,Unmetered,0,0,POINT (-122.405236803 37.797967198),1,1,14,226,327.0,739,1,11
152967,600-04300,0,T,UY,Grey,,Temporarily Inactive,0,1,POINT (-122.4032354 37.797392602),2,1,15,226,600.0,845,2,11
153117,216-29030,0,M,-,Yellow,,Active,1,0,POINT (-122.417701598 37.765101298),2,1,16,186,216.0,845,2,6
153189,440-15020,0,U,U6,Blue,,Unmetered,0,0,POINT (-122.428197602 37.7851088),1,1,17,276,440.0,739,1,8
153298,400-03190,0,U,U1,-,,Unmetered,0,0,POINT (-122.413268298 37.783791003),1,1,18,220,400.0,739,1,5
154016,568-18480,0,U,UF,-,,Unmetered,0,0,POINT (-122.419927301 37.766786697),1,1,19,218,568.0,739,1,46
154103,418-09650,0,U,UC,Grey,,Unmetered,0,0,POINT (-122.4049219 37.778931103),2,1,20,218,418.0,739,2,3
154305,650-24060,0,U,U5,-,,Unmetered,0,0,POINT (-122.432708944 37.79005716),1,1,21,276,650.0,739,1,13
154813,612-07060,0,U,U5,-,,Unmetered,0,0,POINT (-122.4191391 37.783347701),1,1,22,278,612.0,739,1,2
155915,563-01090,0,U,U1,-,,Unmetered,0,0,POINT (-122.414127717 37.780808502),1,1,23,220,563.0,739,1,5
155938,616-02050,0,U,U4,-,,Unmetered,0,0,POINT (-122.408138417 37.786572005),1,1,24,281,616.0,739,1,14
156016,209-02620,0,U,U1,-,,Unmetered,0,0,POINT (-122.411861602 37.773835),1,1,25,218,209.0,739,1,3
156455,121-13010,0,U,U6,Grey,,Unmetered,0,0,POINT (-122.479322299 37.763274803),2,1,26,187,121.0,739,2,15
156502,686-01460,0,U,U1,-,,Unmetered,0,0,POINT (-122.412296902 37.783080301),1,1,27,220,686.0,739,1,5
156604,612-09240,0,U,UC,Grey,,Unmetered,0,0,POINT (-122.419598998 37.785622901),2,1,28,278,612.0,739,2,2
157068,470-02260,0,U,UC,Grey,,Unmetered,0,0,POINT (-122.394219998 37.790066902),2,1,29,281,470.0,739,2,109
157185,470-05060,0,M,-,Yellow,,Active,1,0,POINT (-122.396326398 37.788402899),2,1,30,281,470.0,845,2,109
157584,580-00250,0,U,U9,-,,Unmetered,0,0,POINT (-122.396987099 37.788586697),1,1,31,281,580.0,739,1,109
157752,568-51360,0,U,U1,-,,Unmetered,0,0,POINT (-122.44149752 37.715984305),1,1,32,138,568.0,739,1,17
157782,470-11720,0,M,-,Grey,,Active,1,0,POINT (-122.411011549 37.776805214),2,1,33,218,470.0,845,2,3
157829,208-02020,0,U,U8,-,,Unmetered,0,0,POINT (-122.411520403 37.776028701),1,1,34,218,208.0,739,1,3
157874,684-01740,0,U,U5,-,,Unmetered,0,0,POINT (-122.392205011 37.779405293),1,1,35,267,684.0,739,1,44
158475,612-01060,0,U,U9,-,,Unmetered,0,0,POINT (-122.418007303 37.7777294),1,1,36,257,612.0,739,1,19
158887,211-00680,0,U,U1,Grey,,Unmetered,0,0,POINT (-122.417385328 37.774425839),2,1,37,218,211.0,739,2,20
159311,208-02240,0,U,U1,Yellow,,Unmetered,0,0,POINT (-122.411062902 37.775660897),2,1,38,218,208.0,739,2,3
159621,400-01480,0,U,U9,-,,Unmetered,0,0,POINT (-122.410830499 37.784220799),1,1,39,220,400.0,739,1,5
159712,209-01020,0,U,U1,-,,Unmetered,0,0,POINT (-122.414681515 37.776082903),1,1,40,218,209.0,739,1,3
159762,700-14180,0,U,U3,-,,Unmetered,0,0,POINT (-122.420558402 37.749915999),1,1,41,261,700.0,739,1,21
159793,370-01220,0,M,-,Grey,,Active,1,0,POINT (-122.4187 37.764365098),2,1,42,186,370.0,845,2,6
160231,365-06130,0,U,U4,-,,Unmetered,0,0,POINT (-122.415421502 37.739011098),1,1,43,214,365.0,739,1,22
160422,205-05040,0,M,-,Grey,,Active,1,0,POINT (-122.400173099 37.7775779),2,1,44,267,205.0,845,2,1
160648,915-00160,0,U,U6,Grey,,Unmetered,0,0,POINT (-122.474567301 37.732050397),2,2,45,208,591.0,739,2,23
160728,686-02050,0,U,UC,Grey,,Unmetered,0,0,POINT (-122.412642197 37.782911601),2,1,46,220,686.0,739,2,5
160886,664-09310,0,U,U9,-,,Unmetered,0,0,POINT (-122.408141803 37.794804399),1,1,47,226,664.0,739,1,24
161480,667-00100,0,U,UB,Grey,,Unmetered,0,0,POINT (-122.419213 37.774496299),2,1,48,218,667.0,739,2,20
161572,210-02550,0,M,-,Grey,,Active,1,0,POINT (-122.413000501 37.773069599),2,1,49,218,210.0,845,2,3
161962,568-17220,0,M,-,Yellow,,Active,1,0,POINT (-122.420166302 37.769280397),2,1,50,218,568.0,845,2,46
162279,500-07090,0,M,-,Grey,,Active,1,0,POINT (-122.406992499 37.795940499),2,1,51,226,500.0,845,2,24
162708,915-00020,0,U,U7,Grey,,Unmetered,0,0,POINT (-122.474732497 37.732133998),2,2,52,208,591.0,739,2,23
163171,547-00020,0,U,U9,-,,Unmetered,0,0,POINT (-122.41831139 37.777986176),1,1,53,257,547.0,739,1,25
163203,205-06130,0,T,UC,Grey,,Temporarily Inactive,0,1,POINT (-122.398350156 37.776366667),2,1,54,267,205.0,845,2,1
163623,562-00290,0,T,UD,Red,,Temporarily Inactive,0,1,POINT (-122.4093456 37.784193999),2,1,55,220,562.0,845,2,5
163886,845-05090,0,U,U9,Grey,,Unmetered,0,0,POINT (-122.387921816 37.76531979),2,1,56,267,845.0,739,2,45
164203,563-01105,0,U,UK,-,,Unmetered,0,0,POINT (-122.414084619 37.780937971),1,1,57,220,563.0,739,1,5
164422,500-08390,0,M,-,Grey,,Active,1,0,POINT (-122.409435509 37.795634965),2,1,58,226,500.0,845,2,24
164489,490-16030,0,U,U2,-,,Unmetered,0,0,POINT (-122.475136801 37.763574802),1,1,59,187,490.0,739,2,27
