zone_id,jurisdiction
1,SFMTA
2,SFMTA
3,SFMTA
4,SFMTA
5,SFMTA
6,SFMTA
7,SFMTA
8,SFMTA
9,SFMTA
10,SFMTA
11,SFMTA
12,SFMTA
13,SFMTA
14,SFMTA
15,SFMTA
16,SFMTA
17,SFMTA
18,SFMTA
19,SFMTA
20,SFMTA
21,SFMTA
22,SFMTA
23,SFMTA
24,SFMTA
25,SFMTA
26,PORT
27,SFMTA
28,SFMTA
29,SFMTA
30,SFMTA
31,SFMTA
32,SFMTA
33,SFMTA
34,SFMTA
35,SFMTA
36,SFMTA
37,SFMTA
38,SFMTA
39,SFMTA
40,SFMTA
41,SFMTA
42,SFMTA
43,SFMTA
44,PORT
45,SFMTA
46,OffStr
47,PORT
48,PORT
49,SFMTA
50,SFMTA
51,SFMTA
52,SFMTA
53,SFMTA
54,SFMTA
55,SFMTA
56,SFMTA
57,SFMTA
58,SFMTA
59,SFMTA
60,SFMTA
61,SFMTA
62,SFMTA
63,SFMTA
64,SFMTA
65,SFMTA
66,SFMTA
67,SFMTA
68,SFMTA
69,SFMTA
70,SFMTA
71,SFMTA
72,SFMTA
73,PORT
74,SFMTA
75,SFMTA
76,SFMTA
77,SFMTA
78,SFMTA
79,SFMTA
80,SFMTA
81,SFMTA
82,SFMTA
83,SFMTA
84,SFMTA
85,SFMTA
86,SFMTA
87,SFMTA
88,SFMTA
89,SFMTA
90,PORT
91,PORT
92,SFMTA
93,SFMTA
94,SFMTA
95,SFMTA
96,SFMTA
97,SFMTA
98,PORT
99,SFMTA
100,PORT
101,SFMTA
102,SFMTA
103,SFMTA
104,SFMTA
105,SFMTA
106,SFMTA
107,SFMTA
108,SFMTA
109,PORT
110,SFMTA
111,PORT
112,SFMTA
113,SFMTA
114,SFMTA
115,PORT
116,SFMTA
117,SFMTA
118,SFMTA
119,SFMTA
120,SFMTA
121,SFMTA
122,SFMTA
123,SFMTA
124,SFMTA
125,PORT
126,SFMTA
127,SFMTA
128,SFMTA
129,SFMTA
130,SFMTA
131,SFMTA
132,SFMTA
133,SFMTA
134,PORT
135,SFMTA
136,SFMTA
137,SFMTA
138,SFMTA
139,SFMTA
140,SFMTA
141,SFMTA
142,SFMTA
143,OffStr
144,SFMTA
145,SFMTA
146,SFMTA
147,SFMTA
148,SFMTA
149,SFMTA
150,SFMTA
