street_id,street_name,street_num,street_seg_ctrln_id,blockface_id
205.0,05TH ST,312.0,299000.0,205032
593.0,O'FARRELL ST,730.0,9733000.0,593072
330.0,BRANNAN ST,560.0,3080000.0,330052
470.0,HOWARD ST,939.0,7042000.0,470091
210.0,10TH ST,62.0,483000.0,210002
700.0,VALENCIA ST,201.0,13054000.0,700021
686.0,TURK ST,246.0,12718000.0,686022
223.0,23RD ST,3204.0,1263000.0,223322
725.0,WEST PORTAL AVE,57.0,13577101.0,725001
440.0,GEARY BLVD,1830.0,6041203.0,440182
462.0,HAIGHT ST,1.0,6603000.0,462001
327.0,BROADWAY,441.0,3150000.0,327041
600.0,PACIFIC AVE,430.0,10121000.0,600042
216.0,16TH ST,2903.0,723000.0,216291
400.0,EDDY ST,319.0,5061001.0,400031
568.0,MISSION ST,1848.0,9114000.0,568182
418.0,FOLSOM ST,965.0,5666000.0,418091
650.0,SACRAMENTO ST,2406.0,11255000.0,650242
612.0,POLK ST,706.0,10555000.0,612072
563.0,MCALLISTER ST,109.0,8890000.0,563011
616.0,POWELL ST,205.0,10677000.0,616021
209.0,09TH ST,262.0,453000.0,209022
121.0,21ST AVE,1301.0,1080000.0,121131
580.0,NATOMA ST,25.0,9507000.0,580001
208.0,08TH ST,202.0,409000.0,208022
684.0,TOWNSEND ST,174.0,12657000.0,684012
211.0,11TH ST,68.0,508000.0,211002
370.0,CAPP ST,122.0,3673000.0,370012
365.0,CORTLAND AVE,613.0,4427000.0,365061
591.0,OCEAN AVE,3000.0,9849000.0,591261
664.0,STOCKTON ST,931.0,12205000.0,664091
667.0,SOUTH VAN NESS AVE,10.0,12015201.0,667002
500.0,JACKSON ST,709.0,7373000.0,500071
547.0,DR TOM WADELL PL,2.0,8277000.0,547002
562.0,MASON ST,29.0,8799000.0,562001
845.0,ILLINOIS ST,509.0,7165000.0,845051
490.0,IRVING ST,1603.0,7294000.0,490161
549.0,LOMBARD ST,2231.0,8461101.0,549221
561.0,MAIN ST,54.0,8627000.0,561002
218.0,18TH ST,3401.0,878000.0,218341
411.0,FELL ST,1136.0,5450000.0,411112
207.0,07TH ST,335.0,372000.0,207031
502.0,JONES ST,329.0,7566000.0,502031
363.0,COLUMBUS AVE,223.0,4290000.0,363021
206.0,06TH ST,349.0,335000.0,206031
386.0,DRUMM ST,101.0,4971000.0,386011
359.0,CLAY ST,402.0,4083000.0,359042
443.0,GOUGH ST,61.0,6311000.0,443003
212.0,12TH ST,223.0,543000.0,212021
463.0,HAWTHORNE ST,148.0,6810000.0,463012
570.0,MINNA ST,375.0,9042000.0,570031
720.0,WASHINGTON ST,919.0,13418000.0,720091
542.0,LARKIN ST,1129.0,8137000.0,542111
614.0,POST ST,2125.0,10650000.0,614211
420.0,FREMONT ST,313.0,5864000.0,420031
705.0,VALLEJO ST,1519.0,13108000.0,705151
651.0,SANSOME ST,617.0,11551000.0,651061
831.0,EMBARCADERO SOUTH,553.0,12548201.0,831052
681.0,TAYLOR ST,2528.0,12463000.0,681252
473.0,HOFF ST,42.0,6935000.0,473002
471.0,HARRISON ST,1509.0,6737000.0,471151
847.0,JEFFERSON ST,311.0,7458000.0,847031
701.0,VAN NESS AVE,1815.0,13160101.0,701181
592.0,OCTAVIA ST,312.0,9880201.0,592032
202.0,02ND ST,651.0,147000.0,202061
691.0,UNION ST,1515.0,12864000.0,691151
401.0,ELLIS ST,704.0,5178000.0,401072
680.0,TARAVAL ST,1204.0,12398000.0,680122
114.0,14TH AVE,403.0,556000.0,114041
445.0,GREEN ST,69.0,6439000.0,445001
224.0,24TH ST,3345.0,1349000.0,224331
546.0,LEAVENWORTH ST,2722.0,8274000.0,546272
571.0,MONTGOMERY ST,906.0,9309000.0,571092
606.0,PINE ST,405.0,10460000.0,606041
657.0,SAN BRUNO AVE,2543.0,11376000.0,657251
133.0,33RD AVE,1810.0,1732000.0,133182
109.0,09TH AVE,330.0,425000.0,109032
334.0,BUCHANAN ST,3002.0,3349000.0,334302
690.0,ULLOA ST,815.0,12784000.0,690081
605.0,PAGE ST,20.0,10169000.0,605002
340.0,BLUXOME ST,34.0,2993000.0,340002
402.0,ELM ST,106.0,5202000.0,402012
217.0,17TH ST,3318.0,797000.0,217332
360.0,CLEMENT ST,930.0,4159000.0,360092
107.0,07TH AVE,403.0,353000.0,107041
446.0,GROVE ST,53.0,6553000.0,446003
229.0,29TH ST,41.0,1629000.0,229001
225.0,25TH ST,3321.0,1438000.0,225331
441.0,GENEVA AVE,968.0,6139201.0,441092
110.0,10TH AVE,297.0,463000.0,110021
384.0,DIVISADERO ST,605.0,4803101.0,384061
472.0,HYDE ST,306.0,7117000.0,472032
444.0,GRANT AVE,417.0,6389000.0,444041
419.0,FRANKLIN ST,1218.0,5818000.0,419122
415.0,FILLMORE ST,1418.0,5545000.0,415142
464.0,HAYES ST,532.0,6817000.0,464052
413.0,FILBERT ST,2147.0,5521000.0,413211
670.0,STILLMAN ST,120.0,12192000.0,670012
564.0,MCCOPPIN ST,103.0,8917001.0,564011
118.0,18TH AVE,2406.0,846000.0,118242
864.0,SPEAR ST,460.0,12048000.0,864042
324.0,BATTERY ST,833.0,2763000.0,324081
320.0,BACON ST,106.0,2580000.0,320012
352.0,CASTRO ST,544.0,3791000.0,352052
825.0,DAVIS ST,711.0,4610000.0,825071
467.0,HICKORY ST,121.0,6899000.0,467011
442.0,GOLDEN GATE AVE,231.0,6262000.0,442021
120.0,20TH AVE,1312.0,1006000.0,120132
219.0,19TH ST,3329.0,971000.0,219331
214.0,14TH ST,618.0,593000.0,214062
204.0,04TH ST,413.0,259000.0,204041
333.0,BAY SHORE BLVD,1403.0,2811000.0,333141
385.0,DOLORES ST,16.0,4861201.0,385002
350.0,CALIFORNIA ST,2450.0,3558000.0,350242
492.0,IOWA ST,1007.0,7271000.0,492101
203.0,03RD ST,360.0,171000.0,203032
336.0,BUSH ST,2537.0,3456000.0,336251
724.0,WILLOW ST,220.0,13664000.0,724022
665.0,STEUART ST,145.0,12159000.0,665011
362.0,COLE ST,605.0,4239000.0,362061
569.0,MARKET ST,1819.0,8760102.0,569181
355.0,CHURCH ST,230.0,4010000.0,355022
581.0,NORIEGA ST,2320.0,9664000.0,581232
582.0,NEW MONTGOMERY ST,21.0,9541000.0,582001
520.0,KEARNY ST,403.0,7754000.0,520041
594.0,OLIVE ST,143.0,9919000.0,594011
108.0,08TH AVE,294.0,388000.0,108022
644.0,RITCH ST,356.0,11040000.0,644032
826.0,DELANCEY ST,636.0,117000.0,826062
615.0,POTRERO AVE,993.0,10667101.0,615091
869.0,TERRY A FRANCOIS BLVD,501.0,12532004.0,869051
321.0,BALBOA ST,324.0,2648000.0,321032
815.0,BATTERY ST,1319.0,2769000.0,815131
105.0,05TH AVE,288.0,278000.0,105022
122.0,22ND AVE,2403.0,1151000.0,122241
662.0,SAINT JOSEPHS AVE,308.0,11309000.0,662032
128.0,28TH AVE,510.0,1579000.0,128052
326.0,BEACH ST,815.0,2847000.0,326081
611.0,PARNASSUS AVE,335.0,10291000.0,611031
666.0,SUTTER ST,2417.0,12343000.0,666241
585.0,NORTH POINT ST,218.0,9688000.0,585022
683.0,THORNTON AVE,864.0,12586000.0,683082
820.0,BRYANT ST,108.0,3276000.0,820012
540.0,LAGUNA ST,1601.0,7964000.0,540161
380.0,DAVIS ST,317.0,4607000.0,380031
422.0,FRONT ST,209.0,5869000.0,422021
878.0,VALLEJO ST,70.0,13080000.0,878002
525.0,KAPLAN LN,18.0,7741000.0,525002
331.0,BRYANT ST,831.0,3290000.0,331081
855.0,LOMBARD ST,54.0,8431000.0,855002
325.0,BAY ST,431.0,2776000.0,325041
658.0,SPEAR ST,30.0,12044000.0,658002
653.0,SANCHEZ ST,1069.0,11528000.0,653101
306.0,ALAMEDA ST,2209.0,2136000.0,306221
106.0,06TH AVE,303.0,316000.0,106031
368.0,CYRIL MAGNIN ST,107.0,4571000.0,368011
123.0,23RD AVE,404.0,1214000.0,123042
613.0,PORTOLA DR,720.0,10616101.0,613073
339.0,BERRY ST,309.0,2955000.0,339031
125.0,25TH AVE,498.0,1375000.0,125042
596.0,OTIS ST,149.0,10048000.0,596011
583.0,NOE ST,266.0,9611000.0,583022
215.0,15TH ST,1651.0,654000.0,215161
503.0,JORDAN AVE,191.0,7617000.0,503011
818.0,BRANNAN ST,175.0,3071000.0,818011
802.0,20TH ST,574.0,1025000.0,802052
111.0,11TH AVE,399.0,495000.0,111033
447.0,GREENWICH ST,2145.0,6518000.0,447211
201.0,01ST ST,130.0,105000.0,201012
222.0,22ND ST,3213.0,1191000.0,222321
798.0,LILAC ST,3255.0,8331000.0,798001
830.0,EMBARCADERO NORTH,312.0,12554201.0,830032
220.0,20TH ST,3511.0,1056000.0,220351
341.0,BRADY ST,48.0,3070000.0,341002
423.0,FULTON ST,170.0,5881000.0,423012
382.0,DESMOND ST,8.0,4720000.0,382002
607.0,PIERCE ST,3252.0,10445000.0,607322
837.0,FRONT ST,1004.0,5876000.0,837102
364.0,COMMERCIAL ST,513.0,4312000.0,364051
544.0,LARCH ST,206.0,8118000.0,544022
671.0,SOUTH PARK,105.0,12010000.0,671011
652.0,SCOTT ST,3208.0,11715000.0,652322
328.0,BEALE ST,128.0,2864000.0,328012
361.0,CLAYTON ST,525.0,4131000.0,361051
521.0,KIRKHAM ST,46.0,7842000.0,521002
602.0,PARIS ST,904.0,10259000.0,602092
354.0,CHESTNUT ST,2018.0,3977000.0,354202
823.0,CHESTNUT ST,8.0,3950000.0,823002
590.0,OAK ST,24.0,9750000.0,590002
369.0,CAMPTON PL,34.0,3649000.0,369002
575.0,MAPLE ST,414.0,8682000.0,575042
687.0,TAPIA DR,63.0,12375000.0,687001
404.0,EXCELSIOR AVE,3.0,5359000.0,404001
213.0,13TH ST,171.0,550101.0,213013
226.0,26TH ST,3414.0,1527000.0,226342
329.0,BELVEDERE ST,3.0,2908000.0,329001
722.0,WEBSTER ST,1508.0,13539201.0,722152
383.0,DIAMOND ST,49.0,4737000.0,383001
501.0,JESSIE ST,311.0,7520001.0,501031
469.0,HOLLOWAY AVE,1738.0,6998201.0,469172
567.0,MINT ST,74.0,9064000.0,567002
307.0,ASH ST,307.0,2507000.0,307031
127.0,27TH AVE,466.0,1546000.0,127042
836.0,FRANCISCO ST,4.0,5754000.0,836002
689.0,TEHAMA ST,112.0,12473000.0,689012
819.0,BROADWAY,14.0,3142000.0,819002
663.0,STEINER ST,1522.0,12133000.0,663152
104.0,04TH AVE,281.0,240000.0,104021
841.0,GREEN ST,18.0,6438001.0,841002
119.0,19TH AVE,396.0,904000.0,119032
821.0,BEALE ST,503.0,2868000.0,821051
388.0,DE HARO ST,405.0,4631000.0,388041
840.0,GRANT AVE,2205.0,6418000.0,840221
323.0,BARTLETT ST,11.0,2742000.0,323001
545.0,LELAND AVE,13.0,8292000.0,545001
703.0,VICENTE ST,20.0,13235000.0,703002
630.0,QUESADA AVE,1681.0,10815000.0,630161
692.0,UTAH ST,110.0,13036000.0,692012
356.0,CESAR CHAVEZ ST,3354.0,2488201.0,356332
332.0,BRAZIL AVE,4.0,3093000.0,332002
620.0,PERRY ST,170.0,10360000.0,620012
827.0,CHINA BASIN ST,311.0,15024000.0,827031
857.0,MONTGOMERY ST,1731.0,9321000.0,857171
308.0,BOSWELL ST,8.0,2566000.0,308002
603.0,PEABODY ST,6.0,10317000.0,603002
335.0,BURROWS ST,24.0,3404000.0,335002
102.0,02ND AVE,397.0,122000.0,102031
573.0,ALICE B TOKLAS PL,111.0,9472000.0,573011
353.0,CEDAR ST,41.0,3855000.0,353001
661.0,STEVENSON ST,1219.0,12176000.0,661121
126.0,26TH AVE,503.0,1473000.0,126051
619.0,PETER YORKE WAY,43.0,10384000.0,619001
338.0,BOSWORTH ST,602.0,3027201.0,338062
410.0,FAXON AVE,540.0,5427000.0,410052
608.0,PIXLEY ST,144.0,10504000.0,608012
859.0,NORTH POINT ST,44.0,9686000.0,859002
504.0,JUDAH ST,307.0,7643000.0,504031
417.0,FRANK NORRIS ST,1.0,5790000.0,417001
304.0,AUSTIN ST,123.0,5791000.0,304011
524.0,KING ST,371.0,7834101.0,524031
103.0,03RD AVE,1360.0,162000.0,103132
548.0,LENOX WAY,191.0,8307000.0,548011
468.0,HILLWAY AVE,58.0,6929000.0,468002
642.0,RUSSIA AVE,2.0,11188000.0,642002
659.0,SPRUCE ST,502.0,12062000.0,659052
466.0,HARTFORD ST,104.0,6767000.0,466012
719.0,WALTER U LUM PL,11.0,13387000.0,719001
550.0,LONDON ST,894.0,8478000.0,550082
124.0,24TH AVE,494.0,1293000.0,124044
416.0,FELTON ST,25.0,5462000.0,416001
595.0,ONONDAGA AVE,1.0,9952000.0,595001
465.0,HEMLOCK ST,29.0,6875000.0,465001
221.0,21ST ST,3204.0,1109000.0,221322
412.0,FERN ST,1.0,5482000.0,412001
116.0,16TH AVE,401.0,673000.0,116041
584.0,NORTON ST,20.0,9714000.0,584002
641.0,REVERE AVE,1686.0,10978000.0,641162
138.0,38TH AVE,666.0,1848000.0,138062
618.0,PRESIDIO AVE,410.0,10765000.0,618042
609.0,PARKER AVE,206.0,10275000.0,609022
551.0,LAPU-LAPU ST,38.0,8116000.0,551002
730.0,YORK ST,1191.0,13772000.0,730111
617.0,PRECITA AVE,1.0,4449000.0,617001
131.0,31ST AVE,1804.0,1689000.0,131182
543.0,LAUREL ST,507.0,8174000.0,543051
654.0,SHRADER ST,610.0,11856000.0,654062
387.0,DUNCAN ST,18.0,4997000.0,387002
305.0,AVILA ST,3.0,2567000.0,305001
706.0,VARELA AVE,5.0,13177000.0,706001
137.0,37TH AVE,705.0,1823000.0,137071
461.0,HARRINGTON ST,5.0,6705000.0,461001
303.0,ASHBURY ST,606.0,2513000.0,303062
300.0,ALABAMA ST,1194.0,2117000.0,300112
863.0,SANSOME ST,1526.0,11561000.0,863152
302.0,ARGUELLO BLVD,518.0,2423000.0,302052
685.0,TREAT AVE,1103.0,12690000.0,685111
523.0,KERN ST,6.0,7816000.0,523002
117.0,17TH AVE,412.0,753000.0,117042
373.0,CHANNEL ST,337.0,3891000.0,373033
115.0,15TH AVE,391.0,608000.0,115031
337.0,BAY VIEW ST,3.0,2830000.0,337001
604.0,PERSIA AVE,48.0,10363000.0,604004
132.0,32ND AVE,1796.0,1712000.0,132172
668.0,SHOTWELL ST,994.0,11841000.0,668092
566.0,MERCHANT ST,418.0,8984000.0,566042
367.0,COLLINGWOOD ST,107.0,4270000.0,367011
601.0,PALM AVE,189.0,10191000.0,601011
682.0,THERESA ST,7.0,12564000.0,682001
574.0,MABINI ST,14.0,8588000.0,574002
357.0,CHENERY ST,688.0,3926000.0,357062
660.0,SANTA ROSA AVE,3.0,11589000.0,660001
655.0,SILLIMAN ST,1.0,11873000.0,655001
844.0,HOWARD ST,1.0,7027000.0,844001
460.0,HALLECK ST,201.0,6633000.0,460021
721.0,WILDER ST,93.0,13632000.0,721001
522.0,KINGSTON ST,105.0,7839000.0,522011
723.0,WENTWORTH PL,7.0,13573000.0,723001
702.0,VICKSBURG ST,301.0,13278000.0,702031
704.0,VIRGINIA AVE,7.0,13312000.0,704001
421.0,FRANCIS ST,8.0,5753000.0,421002
414.0,FLORIDA ST,1201.0,5629000.0,414121
572.0,MASONIC AVE,1123.0,8854000.0,572111
669.0,STANYAN ST,,,669001
366.0,COTTER ST,3.0,4462000.0,366001
640.0,REDWOOD ST,141.0,10955000.0,640011
553.0,LINDEN ST,423.0,8394000.0,553041
476.0,HILL ST,2.0,6920000.0,476002
381.0,DAY ST,202.0,4620000.0,381022
230.0,30TH ST,306.0,1668000.0,230032
494.0,ITALY AVE,3.0,7340000.0,494001
656.0,SAN JUAN AVE,6.0,11476000.0,656002
865.0,STEUART ST,204.0,12160001.0,865022
560.0,MALLORCA WAY,6.0,8635000.0,560002
301.0,ALPHA ST,498.0,2218000.0,301042
372.0,CHINA BASIN ST,510.0,15025000.0,372052
554.0,LEO ST,4.0,8308000.0,554002
389.0,DIVISION ST,127.0,4840000.0,389011
491.0,INDIANA ST,1007.0,7196000.0,491101
375.0,COLIN P KELLY JR ST,82.0,4262000.0,375002
862.0,POWELL ST,2508.0,10706000.0,862252
424.0,FRANCE AVE,4.0,5743000.0,424002
371.0,CLARENCE PL,33.0,4066000.0,371001
576.0,MISSION ROCK ST,532.0,15028000.0,576052
577.0,MISSION BAY BLVD NORTH,738.0,15021201.0,577072
578.0,MISSION BAY BLVD SOUTH,523.0,15019101.0,578051
565.0,MINNESOTA ST,1236.0,9058000.0,565122
493.0,ILLINOIS ST,1319.0,7172000.0,493131
526.0,KANSAS ST,221.0,7726000.0,526021
310.0,AMAZON AVE,4.0,2243000.0,310002
645.0,RHODE ISLAND ST,435.0,10996000.0,645041
552.0,LONG BRIDGE ST,658.0,15000000.0,552062
854.0,RICHARD HENRY DANA PL,2908.0,8275000.0,854292
351.0,CARL ST,63.0,3694000.0,351001
390.0,DUBOCE AVE,236.0,4983000.0,390022
