collision_id,unique_id,case_id_pkey,collision_date,collision_time,accident_year,month,day_of_week,time_cat,hour_of_day,time_of_day,season,location_id,weather_id,road_id,party_id,severity_id
1,48523,190484726.0,2019 July 04,17:50:00,2019,July,Thursday,2:01 pm to 6:00 pm,17,Evening,Summer,1,1,1,57406,1
2,18144,130941184.0,2013 November 06,07:57:00,2013,November,Wednesday,6:01 am to 10:00 am,7,Morning,Fall,2,2,2,57556,1
3,85951,240407262.0,2024 June 30,15:30:00,2024,June,Sunday,2:01 pm to 6:00 pm,15,Afternoon,Summer,3,2,2,55115,2
4,40285,3346324.0,2007 July 07,03:53:00,2007,July,Saturday,2:01 am to 6:00 am,3,Night,Summer,4,2,3,57660,3
5,43712,2658927.0,2006 May 04,14:30:00,2006,May,Thursday,2:01 pm to 6:00 pm,14,Afternoon,Spring,5,2,2,57653,2
6,41951,3491922.0,2007 November 11,15:50:00,2007,November,Sunday,2:01 pm to 6:00 pm,15,Afternoon,Fall,6,2,2,57653,3
7,15721,3603173.0,2008 January 24,08:55:00,2008,January,Thursday,6:01 am to 10:00 am,8,Morning,Winter,7,2,4,57468,1
8,47611,190314509.0,2019 May 03,08:05:00,2019,May,Friday,6:01 am to 10:00 am,8,Morning,Spring,8,2,2,57583,2
9,47614,190319775.0,2019 May 04,16:39:00,2019,May,Saturday,2:01 pm to 6:00 pm,16,Afternoon,Spring,9,2,1,48086,1
10,22320,130069811.0,2013 January 25,12:20:00,2013,January,Friday,10:01 am to 2:00 pm,12,Afternoon,Winter,10,2,2,57280,1
11,40076,3250912.0,2007 June 21,16:50:00,2007,June,Thursday,2:01 pm to 6:00 pm,16,Afternoon,Summer,11,2,5,57524,4
12,48507,190553177.0,2019 July 30,01:46:00,2019,July,Tuesday,10:01 pm to 2:00 am,1,Night,Summer,12,2,3,57585,1
13,11289,180047497.0,2017 December 04,12:00:00,2017,December,Monday,10:01 am to 2:00 pm,12,Afternoon,Winter,13,3,6,57546,2
14,82071,230143119.0,2023 February 27,16:59:00,2023,February,Monday,2:01 pm to 6:00 pm,16,Afternoon,Winter,14,2,4,57653,1
15,85064,240046503.0,2024 January 22,01:14:00,2024,January,Monday,10:01 pm to 2:00 am,1,Night,Winter,15,4,7,57557,3
16,85080,240062236.0,2024 January 28,17:10:00,2024,January,Sunday,2:01 pm to 6:00 pm,17,Evening,Winter,16,2,8,55166,1
17,48100,190604479.0,2019 August 16,19:17:00,2019,August,Friday,6:01 pm to 10:00 pm,19,Evening,Summer,17,2,9,57524,2
18,81905,230292738.0,2023 April 27,14:19:00,2023,April,Thursday,2:01 pm to 6:00 pm,14,Afternoon,Spring,18,2,1,56568,5
19,26560,170648657.0,2017 August 09,08:20:00,2017,August,Wednesday,6:01 am to 10:00 am,8,Morning,Summer,19,3,6,57546,1
20,19432,180043724.0,2017 November 15,13:02:00,2017,November,Wednesday,10:01 am to 2:00 pm,13,Afternoon,Fall,20,3,6,55166,1
21,82268,230683375.0,2023 September 22,21:39:00,2023,September,Friday,6:01 pm to 10:00 pm,21,Night,Fall,21,2,10,57653,2
22,82201,230602773.0,2023 August 24,09:25:00,2023,August,Thursday,6:01 am to 10:00 am,9,Morning,Summer,22,2,2,55715,4
23,52952,200320626.0,2020 May 27,12:11:00,2020,May,Wednesday,10:01 am to 2:00 pm,12,Afternoon,Spring,23,2,11,57524,2
24,52962,200325422.0,2020 May 29,16:52:00,2020,May,Friday,2:01 pm to 6:00 pm,16,Afternoon,Spring,24,2,1,55166,2
25,9793,150703221.0,2015 August 12,15:39:00,2015,August,Wednesday,2:01 pm to 6:00 pm,15,Afternoon,Summer,25,2,2,57525,2
26,12212,140937628.0,2014 November 05,15:20:00,2014,November,Wednesday,2:01 pm to 6:00 pm,15,Afternoon,Fall,26,2,2,42040,2
27,12408,150095329.0,2015 January 31,15:34:00,2015,January,Saturday,2:01 pm to 6:00 pm,15,Afternoon,Winter,27,2,1,57557,1
28,54298,200729614.0,2020 December 03,17:20:00,2020,December,Thursday,2:01 pm to 6:00 pm,17,Evening,Winter,28,3,12,55180,6
29,59404,220846862.0,2022 December 10,18:10:00,2022,December,Saturday,6:01 pm to 10:00 pm,18,Evening,Winter,29,4,13,57524,4
30,55044,210393027.0,2021 June 23,14:18:00,2021,June,Wednesday,2:01 pm to 6:00 pm,14,Afternoon,Summer,30,5,2,57566,2
31,57674,220189725.0,2022 March 23,06:16:00,2022,March,Wednesday,6:01 am to 10:00 am,6,Morning,Spring,31,3,12,55448,2
32,58265,220403973.0,2022 June 20,12:45:00,2022,June,Monday,10:01 am to 2:00 pm,12,Afternoon,Summer,32,2,2,57406,1
33,13148,130398400.0,2013 May 15,07:50:00,2013,May,Wednesday,6:01 am to 10:00 am,7,Morning,Spring,33,2,5,57524,2
34,21817,130246558.0,2013 March 25,12:20:00,2013,March,Monday,10:01 am to 2:00 pm,12,Afternoon,Spring,34,3,14,48086,1
35,59854,220732512.0,2022 October 17,11:30:00,2022,October,Monday,10:01 am to 2:00 pm,11,Morning,Fall,35,6,9,55601,1
36,46440,190027031.0,2019 January 11,15:54:00,2019,January,Friday,2:01 pm to 6:00 pm,15,Afternoon,Winter,36,2,4,57649,1
37,345,140088964.0,2014 January 30,14:43:00,2014,January,Thursday,2:01 pm to 6:00 pm,14,Afternoon,Winter,37,2,2,57653,2
38,38676,3825806.0,2008 July 15,09:05:00,2008,July,Tuesday,6:01 am to 10:00 am,9,Morning,Summer,38,2,2,57524,1
39,39123,2172006.0,2005 July 28,13:40:00,2005,July,Thursday,10:01 am to 2:00 pm,13,Afternoon,Summer,39,1,2,57653,1
40,4876,140395888.0,2014 May 11,17:00:00,2014,May,Sunday,2:01 pm to 6:00 pm,17,Evening,Spring,40,2,2,49721,2
41,9289,140691131.0,2014 August 18,,2014,August,Monday,Unknown,,Night,Summer,41,1,2,56230,2
42,13866,160911000.0,2016 November 08,16:46:00,2016,November,Tuesday,2:01 pm to 6:00 pm,16,Afternoon,Fall,42,2,1,57524,1
43,21553,140760065.0,2014 September 09,14:45:00,2014,September,Tuesday,2:01 pm to 6:00 pm,14,Afternoon,Fall,43,2,1,55192,1
44,16565,130103992.0,2013 February 05,18:15:00,2013,February,Tuesday,6:01 pm to 10:00 pm,18,Evening,Winter,44,2,3,57649,1
