party_id,party_at_fault,party1_type,party1_dir_of_travel,party1_move_pre_acc,party2_type,party2_dir_of_travel,party2_move_pre_acc,type_of_collision,involves_pedestrian,involves_bicycle,involves_motorcycle,involves_vehicle,ped_action,point,mviw
1,,Driver,East,Making Left Turn,Driver,East,Proceeding Straight,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.437265708 37.773153457),Other Motor Vehicle
2,1.0,Bicyclist,East,Passing Other Vehicle,Unknown,Unknown,Unknown,Other,0,0,0,0,No Pedestrian Involved,POINT (-122.430506857 37.76937557),Other Object
3,,Bicyclist,West,Proceeding Straight,Parked Vehicle,West,Parked,Sideswipe,0,1,0,0,No Pedestrian Involved,POINT (-122.499279855 37.717965025),Bicycle
4,1.0,Driver,North,Proceeding Straight,Driver,North,Proceeding Straight,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.476624651 37.758174498),Pedestrian
5,,Driver,East,Proceeding Straight,Unknown,Unknown,Unknown,Hit Object,0,0,0,1,No Pedestrian Involved,POINT (-122.485625701 37.776248211),Fixed Object
6,,Driver,North,Proceeding Straight,Unknown,Unknown,Unknown,Hit Object,0,0,0,1,No Pedestrian Involved,POINT (-122.454858378 37.768635577),Fixed Object
7,,Driver,West,Proceeding Straight,Bicyclist,West,Proceeding Straight,Sideswipe,0,0,0,1,No Pedestrian Involved,POINT (-122.409962755 37.777521687),Other Motor Vehicle
8,1.0,Driver,South,Proceeding Straight,Unknown,Unknown,Unknown,Other,0,0,0,1,No Pedestrian Involved,POINT (-122.444404696 37.799215552),Non-Collision
9,,Driver,South,Making Right Turn,Bicyclist,South,Proceeding Straight,Not Stated,0,1,0,1,No Pedestrian Involved,POINT (-122.423541307 37.779673586),Bicycle
10,2.0,Driver,West,Proceeding Straight,Pedestrian,South,Not Stated,Vehicle/Pedestrian,1,0,0,1,Crossing Not in Crosswalk,POINT (-122.440073858 37.774700349),Pedestrian
11,,Bicyclist,Not Stated,Other,Unknown,Unknown,Unknown,Other,0,0,0,0,No Pedestrian Involved,POINT (-122.463780218 37.758538238),Other Object
12,,Driver,South,Proceeding Straight,Driver,East,Making Left Turn,Broadside,0,0,0,1,No Pedestrian Involved,POINT (-122.404592616 37.730037196),Other Motor Vehicle
13,,Driver,South,Not Stated,Driver,South,Not Stated,Not Stated,1,0,0,1,Not Stated,POINT (-122.423800671 37.761565673),Not Stated
14,,Driver,South,Making Right Turn,Unknown,Unknown,Unknown,Hit Object,0,0,0,1,No Pedestrian Involved,POINT (-122.414106896 37.776707688),Fixed Object
