road_id,road_surface,road_cond_1,road_cond_2,lighting,control_device
1,Dry,No Unusual Condition,Not Stated,Daylight,Functioning
2,Dry,No Unusual Condition,Not Stated,Daylight,Unknown
3,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning
4,Wet,No Unusual Condition,Not Stated,Daylight,Unknown
5,Dry,Loose Material on Roadway,Not Stated,Daylight,Unknown
6,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated
7,Wet,No Unusual Condition,Not Stated,Dark - Street Lights,Unknown
8,Dry,No Unusual Condition,Not Stated,Daylight,Not Stated
9,Dry,Other,Not Stated,Daylight,Unknown
10,Dry,Other,Not Stated,Dark - Street Lights,Functioning
11,Dry,"Holes, Deep Rut",Not Stated,Daylight,Unknown
12,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Unknown
13,Wet,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning
14,Not Stated,Not Stated,Not Stated,Not Stated,Unknown
15,Dry,No Unusual Condition,Not Stated,Dusk - Dawn,Unknown
16,Wet,No Unusual Condition,Not Stated,Daylight,Functioning
17,Wet,Other,Not Stated,Dark - Street Lights,Unknown
18,Dry,Reduced Roadway Width,Not Stated,Dark - Street Lights,Functioning
19,Dry,"Holes, Deep Ruts",Not Stated,Daylight,Functioning
20,Not Stated,No Unusual Condition,Not Stated,Daylight,Unknown
21,Dry,Not Stated,Not Stated,Dark - Street Lights,Functioning
22,Not Stated,Other,Not Stated,Daylight,Unknown
23,Dry,Not Stated,Not Stated,Daylight,Functioning
24,Dry,Other,Not Stated,Daylight,Functioning
25,Dry,"Holes, Deep Ruts",Not Stated,Daylight,Unknown
26,Wet,Other,Not Stated,Daylight,Unknown
27,Dry,No Unusual Condition,Not Stated,Not Stated,Unknown
28,Dry,"Holes, Deep Ruts",Loose Material on Roadway,Daylight,Unknown
29,Dry,No Unusual Condition,Not Stated,Dark - No Street Lights,Unknown
30,Dry,No Unusual Condition,Not Stated,Daylight,Not Functioning
31,Wet,Other,Not Stated,Dusk - Dawn,Functioning
32,Dry,Other,Not Stated,Dark - Street Lights,Unknown
33,Dry,No Unusual Condition,Not Stated,Dusk - Dawn,Functioning
34,Dry,No Unusual Condition,Not Stated,Dark - Street Lights Not Functioning,Functioning
35,Wet,"Holes, Deep Ruts",Other,Daylight,Unknown
36,Not Stated,Other,Not Stated,Daylight,Not Stated
37,Wet,Not Stated,Not Stated,Daylight,Functioning
38,Not Stated,Not Stated,Not Stated,Daylight,Unknown
39,Dry,Not Stated,Not Stated,Dark - Street Lights,Unknown
40,Dry,Not Stated,Not Stated,Daylight,Unknown
41,Wet,No Unusual Condition,Not Stated,Dark - Street Lights Not Functioning,Not Functioning
42,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Not Stated
43,Dry,Obstruction on Roadway,Not Stated,Daylight,Unknown
44,Dry,Construction or Repair Zone,Not Stated,Daylight,Functioning
45,Dry,Construction or Repair Zone,Not Stated,Daylight,Unknown
46,Wet,No Unusual Condition,Not Stated,Dusk - Dawn,Functioning
47,Not Stated,No Unusual Condition,Not Stated,Daylight,Functioning
48,Dry,"Holes, Deep Rut",Not Stated,Dark - Street Lights,Functioning
49,Not Stated,No Unusual Condition,Not Stated,Not Stated,Functioning
50,Dry,Construction or Repair Zone,No Unusual Condition,Daylight,Unknown
51,Not Stated,No Unusual Condition,Not Stated,Dark - Street Lights,Unknown
52,Dry,"Holes, Deep Ruts",Not Stated,Dark - Street Lights,Unknown
53,Dry,No Unusual Condition,Not Stated,Dark - No Street Lights,Functioning
54,Dry,Other,Not Stated,Dusk - Dawn,Functioning
55,Dry,Obstruction on Roadway,Not Stated,Daylight,Functioning
56,Wet,No Unusual Condition,Not Stated,Daylight,Not Stated
57,Dry,Construction or Repair Zone,Not Stated,Dark - Street Lights,Unknown
58,Not Stated,Other,Not Stated,Not Stated,Not Stated
59,Wet,No Unusual Condition,Not Stated,Dusk - Dawn,Unknown
60,Slippery,No Unusual Condition,Not Stated,Daylight,Functioning
61,Wet,No Unusual Condition,Not Stated,Dark - No Street Lights,Unknown
62,Dry,No Unusual Condition,Not Stated,Dark - Street Lights Not Functioning,Unknown
63,Slippery,Other,Not Stated,Dusk - Dawn,Functioning
64,Snowy or Icy,No Unusual Condition,Not Stated,Dusk - Dawn,Functioning
65,Not Stated,No Unusual Condition,Not Stated,Dark - Street Lights,Functioning
66,Dry,Not Stated,Not Stated,Dusk - Dawn,Functioning
67,Dry,No Unusual Condition,Not Stated,Not Stated,Not Stated
68,Dry,"Holes, Deep Ruts",Not Stated,Dusk - Dawn,Not Stated
69,Dry,Not Stated,Not Stated,Daylight,Not Stated
70,Slippery,Loose Material on Roadway,Not Stated,Dark - Street Lights,Unknown
71,Dry,"Holes, Deep Rut",Not Stated,Dark - Street Lights,Unknown
72,Wet,No Unusual Condition,Not Stated,Daylight,Not Functioning
73,Dry,Reduced Roadway Width,Not Stated,Daylight,Functioning
74,Wet,Other,Not Stated,Daylight,Functioning
75,Dry,Construction or Repair Zone,Not Stated,Dark - Street Lights,Functioning
76,Not Stated,Not Stated,Not Stated,Daylight,Functioning
77,Not Stated,"Holes, Deep Rut",No Unusual Condition,Dark - No Street Lights,Unknown
78,Dry,Construction or Repair Zone,Reduced Roadway Width,Daylight,Not Stated
79,Dry,No Unusual Condition,Not Stated,Dark - Street Lights,Not Functioning
80,Dry,"Holes, Deep Rut",Not Stated,Daylight,Functioning
81,Dry,No Unusual Condition,Not Stated,Not Stated,Functioning
82,Dry,"Holes, Deep Ruts",Not Stated,Dark - Street Lights,Functioning
83,Wet,Not Stated,Not Stated,Dark - Street Lights,Not Functioning
84,Not Stated,No Unusual Condition,Not Stated,Dark - Street Lights,Not Stated
85,Dry,No Unusual Condition,Not Stated,Dusk - Dawn,Not Functioning
86,Dry,Other,No Unusual Condition,Daylight,Unknown
87,Wet,"Holes, Deep Rut",Not Stated,Daylight,Unknown
88,Dry,Construction or Repair Zone,No Unusual Condition,Dusk - Dawn,Functioning
89,Slippery,"Holes, Deep Ruts",Loose Material on Roadway,Daylight,Unknown
90,Not Stated,"Holes, Deep Ruts",No Unusual Condition,Daylight,Functioning
91,Wet,Not Stated,Not Stated,Dark - Street Lights,Functioning
92,Dry,Other,Not Stated,Dark - Street Lights,Not Stated
93,Wet,No Unusual Condition,Not Stated,Dark - Street Lights Not Functioning,Functioning
94,Wet,No Unusual Condition,Not Stated,Dark - No Street Lights,Functioning
95,Dry,Construction or Repair Zone,Not Stated,Daylight,Not Stated
96,Wet,Not Stated,Not Stated,Daylight,Unknown
97,Wet,Obstruction on Roadway,Not Stated,Dark - Street Lights,Unknown
98,Dry,Not Stated,Not Stated,Dusk - Dawn,Not Stated
99,Wet,"Holes, Deep Ruts",Not Stated,Dusk - Dawn,Unknown
100,Dry,Construction or Repair Zone,Not Stated,Dusk - Dawn,Unknown
101,Dry,No Unusual Condition,Not Stated,Daylight,Obscured
102,Dry,Obstruction on Roadway,Construction or Repair Zone,Daylight,Unknown
103,Not Stated,Not Stated,Not Stated,Not Stated,Functioning
104,Wet,Other,Not Stated,Dark - Street Lights,Functioning
105,Dry,No Unusual Condition,Not Stated,Dusk - Dawn,Not Stated
106,Dry,Loose Material on Roadway,Construction or Repair Zone,Daylight,Unknown
107,Not Stated,Other,Not Stated,Dark - Street Lights,Functioning
108,Dry,Not Stated,Not Stated,Dusk - Dawn,Unknown
109,Dry,Loose Material on Roadway,Not Stated,Daylight,Functioning
