OBJECTID,PARKING_SPACE_ID,POST_ID,MS_PAY_STATION_ID,MS_SPACE_NUM,SENSOR_FLAG,ON_OFFSTREET_TYPE,OSP_ID,JURISDICTION,PM_DISTRICT_ID,BLOCKFACE_ID,ACTIVE_METER_FLAG,REASON_CODE,SMART_METER_FLAG,METER_TYPE,METER_VENDOR,METER_MODEL,CAP_COLOR,PCO_BEAT,OLD_RATE_AREA,STREET_ID,STREET_NAME,STREET_NUM,PARITY_DIGIT_POSITION,STREET_SEG_CTRLN_ID,ORIENTATION,LONGITUDE,LATITUDE,LEGISLATION_REF,LEGISLATION_DT,WORK_ORDER,COMMENTS,COLLECTION_ROUTE,COLLECTION_SUBROUTE,PMR_ROUTE,NFC_KEY,SPT_CODE,COLLECTION_ROUTE_DESC,COLLECTION_SUBROUTE_DESC,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts
150183,-,205-03120,-,0,,ON,,SFMTA,2,205032,U,U9,,-,-,-,-,,,205,05TH ST,312,,299000,,-122.4030617994,37.779880498400004,,,,,,,N-4,,,,,POINT (-122.403061799 37.779880498),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
150453,-,593-07300,-,0,,ON,,SFMTA,15,593072,M,-,,SS,IPS,M5,Grey,,,593,O'FARRELL ST,730,,9733000,,-122.4173274019,37.7853052997,,,,,113,113-2,E-1,,,Post - Geary - O Farrell,Post-Geary-Offarrell,POINT (-122.417327402 37.7853053),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,20,20,5,10
150473,-,330-05600,-,0,,ON,,SFMTA,2,330052,U,U2,,-,-,-,-,,,330,BRANNAN ST,560,,3080000,,-122.39814719900001,37.7771693998,,,,,,,N-4,,,,,POINT (-122.398147199 37.7771694),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
151030,-,470-09390,-,0,,ON,,SFMTA,14,470091,M,UV,,SS,IPS,M5,Grey,,,470,HOWARD ST,939,,7042000,,-122.4057868009,37.7807080996,,,,,DPT MOS,DPT MOS,N-3,,,,,POINT (-122.405786801 37.7807081),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,1,10
151119,-,210-00620,-,0,,ON,,SFMTA,14,210002,U,U1,,SS,IPS,M5,Grey,,,210,10TH ST,62,,483000,,-122.41610559979999,37.7753127021,,,,,,,N-2,,,,,POINT (-122.4161056 37.775312702),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,South of Market,6,34,32,32,5,10
151538,-,700-02010,-,0,,ON,,SFMTA,16,700021,U,U1,,-,-,-,-,,,700,VALENCIA ST,201,,13054000,,-122.4222448018,37.7697472022,,,,,,,R-2,,,,,POINT (-122.422244802 37.769747202),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,9,20,53,53,3,2
151736,-,686-02460,-,0,,ON,,SFMTA,13,686022,U,U1,,-,-,-,-,,,686,TURK ST,246,,12718000,,-122.4139316973,37.7828728993,,,,,,,J-1,,,,,POINT (-122.413931697 37.782872899),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Tenderloin,5,36,20,20,5,10
151874,-,223-32040,-,0,,ON,,SFMTA,4,223322,M,-,,SS,MacKay,mkBeacon,Green,,,223,23RD ST,3204,,1263000,,-122.4167473015,37.7539944992,,,,,302,302-1,R-4,,,Mission St: 2500 - 2700,Mission 2500-2700,POINT (-122.416747302 37.753994499),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Mission,9,20,53,53,3,2
151921,-,725-00570,-,0,,ON,,SFMTA,10,725001,U,U6,,-,IPS,M5,Blue,,,725,WEST PORTAL AVE,57,,13577101,,-122.46671630230001,37.7398313013,,,,,,,A-1,,,,,POINT (-122.466716302 37.739831301),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,West of Twin Peaks,7,41,46,46,10,8
152271,-,440-18300,-,0,,ON,,SFMTA,5,440182,U,U9,,SS,IPS,M5,Grey,,,440,GEARY BLVD,1830,,6041203,,-122.43389189780001,37.7844416005,,,,,,,C-3,,,,,POINT (-122.433891898 37.784441601),04/29/2024 05:01:40 PM,12/03/2024 02:47:03 PM,Japantown,5,15,103,103,4,11
