Year,Month,Day,Hour,Electronics_Laptops,Electronics_Smartphones,Electronics_Headphones,Clothing_Men_Shirts,Clothing_Women_Dresses,Clothing_Kids_Pants,Home_Appliances_Refrigerators,Home_Appliances_Washers,Home_Decor_Curtains,Home_Decor_Rugs,Beauty_Makeup,Beauty_Skincare,Sports_Outdoor_Gear,Sports_Fitness_Equipment,Toys_Dolls,Online_Traffic,Store_Traffic,Marketing_Spend,Cost,Profit_Margin,Customer_Age_Group,Customer_Region,Holiday_Flag,Toys_Educational,Food_Beverages_Snacks,Food_Beverages_Organic,Automotive_Accessories,Automotive_Replacement_Parts
2020,1,1,0,981.13,1717.71,192.52,57.61,143.92,54.94,1730.23,965.64,43.96,139.79,30.31,45.89,252.05,359.76,70.99,557.39,269.21,379.86,454.22,23.31,20,South,0,149.91,14.01,12.86,284.57,309.06
2020,1,1,1,759.9,1067.3,385.48,115.87,78.9,54.22,1509.74,628.99,105.3,148.21,75.93,162.58,219.39,488.95,68.76,441.74,157.98,285.18,756.55,10.46,56,East,0,75.1,15.92,23.83,98.24,184.73
2020,1,1,2,1129.57,1371,286.14,112.88,111.08,18.32,2858.38,908.62,56.89,159.99,28.73,68.78,250.56,195.38,49.64,416.81,280.34,240.62,282.12,5.34,68,West,0,41.87,25.48,33.34,162.8,166.42
2020,1,1,3,695.45,716.19,399.93,80.48,107.5,31.03,1899.93,609.35,136.2,178.3,39.2,99.47,74.94,146.06,71.75,562.65,179.03,248.59,946.06,23.45,38,East,0,105.38,6.49,24.27,118.36,583.45
2020,1,1,4,1815.95,474.59,329.25,104.44,143.89,21.71,2948.69,840.91,149.42,327.64,42.21,145.07,159.74,270.14,26.15,547.89,303.44,461.18,636.04,10.13,61,South,0,151.68,8.28,14.29,145.85,466.57
2020,1,1,5,2021.93,768.14,464.78,102,106.54,35.37,1047.93,460.8,63.85,347.56,23.87,82.58,376.05,427.51,65.91,599.65,341.43,162.11,430.85,10.84,23,North,0,59.89,27.94,13.12,133.87,286.27
2020,1,1,6,556.26,920.46,275.38,62.74,116.3,48.05,2980.72,952.01,125.72,271.06,18.9,281.57,436.46,218.99,17.4,294.89,440.06,195.86,972.66,12.72,19,East,0,150.99,7.16,19.08,152.58,477.9
2020,1,1,7,1823.56,752.44,237.52,52.44,173.45,87.77,802.65,622.57,100.6,242.68,55.23,59.67,342.07,100.93,52.44,286.14,501.02,281.45,578.99,5.45,24,South,0,191.62,12.89,41.2,296.65,623.97
2020,1,1,8,2185.98,1939.29,157.89,120.58,128.1,52.25,2093.43,822.52,40.64,114.52,21.12,40,148.79,238.67,33.27,450.54,264.95,159.08,404.11,13.09,28,North,0,86.09,16.35,47.73,200.27,525.25
2020,1,1,9,1465.92,738.4,333.72,53.85,120.66,28.49,1057.03,535.97,98.4,96.25,36.9,27.16,142.91,547.26,58.21,425.12,364.06,274.66,867.26,18.12,23,North,0,58.51,11.31,16.71,235.81,288.76
2020,1,1,10,1067.36,1130.59,201.32,48.27,177.75,37.86,2668.84,1169.49,91.84,84.54,28.2,53.7,81.43,664.66,22.84,411.44,13.94,111.62,710.13,7.64,49,West,0,61.82,11.64,27.88,181,164.89
2020,1,1,11,1601.59,842.57,92.23,23.04,132.93,50.43,1374.09,929.18,101.68,91.06,31.75,84.35,239.52,895.1,46.01,605.27,214.16,291.72,389.25,15.46,60,North,0,72.73,8.78,23.78,204.38,320.84
2020,1,1,12,1518.55,1004.47,294.48,61.3,75.14,46.38,1543.42,582.09,38.62,249.24,87.25,163.27,149.2,194.61,50.86,543.4,370.26,380.64,896.65,12.31,66,South,0,86.84,15.32,15.74,99.52,439.15
2020,1,1,13,2158.03,396.76,245.82,47.23,57.77,19.12,1900.92,551.51,71.02,213.72,49.53,89.15,306.37,146.34,18.82,383.75,243.74,368.17,663.56,11.54,62,West,0,92.96,23.14,19.37,195.38,558.87
2020,1,1,14,2068.6,1269.82,276.25,67.46,150.86,24.21,1258.12,673.5,106.95,128.74,54.43,128.92,291.23,247.04,25.63,469.43,127.39,150.16,301.12,15.2,53,North,0,48.65,16.55,13.81,290.8,208.29
2020,1,1,15,802.77,345.55,201.79,79.93,74.78,37.13,1572.06,865.52,49.6,235.59,35.16,78.31,176.49,227.73,57.02,389.29,211.9,313.47,856.55,24.19,45,West,0,99.94,35.53,38.97,177.61,435.54
2020,1,1,16,1841.57,1119.68,342.25,23.92,36.51,40.25,1736.22,955.51,71.11,96.56,20.44,33.53,356.15,697.86,30.75,400.43,172.22,159.53,607.87,20.82,63,South,0,118.97,17.75,27.17,37.07,316.69
2020,1,1,17,1488.46,713.44,283.99,77.36,110.82,21.9,1142.64,787.13,73.49,175.5,75.75,157.1,236.84,526.07,11,524.28,369.89,270.94,202.89,23.13,59,West,0,75.14,8.76,9.58,263.05,187.6
2020,1,1,18,1901.81,1237.15,352.6,139.27,152.11,64.25,2587.33,978.1,107.55,89.01,29.12,184.49,303.73,174.2,59.29,309.21,189.56,297.77,960.13,19.02,41,South,0,99.66,8.67,12.72,231.44,534.52
2020,1,1,19,2127.38,462.87,484.09,44.75,86.29,64.59,1804.23,776.6,95.46,104.01,47.95,161.78,315.03,304.12,26.37,473.32,255.09,433.59,509.86,6.01,54,East,0,71.94,18.59,26.45,143.01,253.86
