User ID,Timestamp,Device Type,Session Duration,Page Name,Actions Taken,Betting History,Amount Spent,Active Time,Geolocation,Device Language,Referral Source,User Type,Push Notifications,Win/Loss Status,Bet Type,Sport Type,Bet Amount,Odds,Login Frequency,Session Frequency,Page Navigation,User Engagement,Coupon Usage,Error Logs,Help Interaction,Conversion Rate
6626,2025-01-02 19:27:39.005015,Android,29.51,Sports,Logout,Multiple Wins,208.09,11.75,"Toronto, Canada",German,Direct,Returning,True,Win,Over/Under,Soccer,847.3,3.86,Daily,3,Sports > Bet History,False,True,True,False,False
1436,2025-01-03 19:27:39.005074,Android,117.41,Odds,Place Bet,Recent Loss,31.67,22.23,"London, UK",Spanish,Social Media,New,False,No Bet,Spread,Baseball,528.1,4.39,Rarely,1,Sports > Bet History,False,True,True,True,False
7617,2024-12-29 19:27:39.005100,Android,142.68,Results,Login,Recent Win,68.49,10.86,"Berlin, Germany",German,Ad,Returning,True,No Bet,Over/Under,Tennis,161.22,3.67,Monthly,3,Home > Sports,False,False,False,False,True
9787,2025-01-18 19:27:39.005123,Android,35.53,Odds,Logout,No Bets,282.39,17.17,"Sydney, Australia",English,Ad,Returning,False,Win,Spread,Basketball,896.13,4.61,Weekly,5,Sports > Bet History,False,False,True,False,True
7452,2025-01-05 19:27:39.005150,Android,109.3,Results,Place Bet,Multiple Wins,144.15,18.39,"Sydney, Australia",Spanish,Social Media,Returning,False,Loss,Spread,Tennis,568.09,4.83,Rarely,4,Home > Odds,True,True,False,True,False
9805,2025-01-08 19:27:39.005171,Android,99.49,Live Bets,Login,Recent Win,468.98,3.02,"New York, USA",Spanish,Direct,New,False,Win,Moneyline,Tennis,252.35,3.61,Weekly,5,Live Bets > Results,False,False,False,True,True
3115,2025-01-09 19:27:39.005207,Android,156.73,Home,Click,Multiple Wins,242.28,5.72,"London, UK",French,Direct,Returning,True,Win,Parlay,Tennis,649.28,4.25,Rarely,1,Sports > Bet History,False,False,False,False,False
7075,2025-01-07 19:27:39.005231,Android,73.18,Home,View Odds,Recent Loss,487.03,20.08,"Toronto, Canada",Spanish,Direct,New,True,Win,Spread,Tennis,683.64,2.88,Rarely,1,Live Bets > Results,True,True,False,False,False
3453,2025-01-01 19:27:39.005256,Android,112.68,Results,Logout,No Bets,380.57,21.42,"Sydney, Australia",French,Search Engine,New,True,Loss,Parlay,Basketball,149.02,3.82,Rarely,2,Sports > Bet History,False,False,False,False,True
9660,2025-01-18 19:27:39.005277,Android,102.79,Live Bets,Click,Recent Win,71.29,13.54,"Berlin, Germany",English,Referral Link,New,True,No Bet,Spread,Basketball,927.34,3.82,Rarely,5,Home > Sports,True,True,True,False,False
9546,2025-01-03 19:27:39.005295,Android,74.04,Bet History,Logout,No Bets,446.49,15.24,"Sydney, Australia",Portuguese,Social Media,Returning,True,Loss,Spread,Baseball,415.99,3.22,Rarely,5,Live Bets > Results,False,True,False,False,False
2452,2025-01-20 19:27:39.005313,iOS,1.63,Live Bets,Place Bet,Multiple Losses,171.49,28.7,"Berlin, Germany",Portuguese,Search Engine,New,False,Win,Moneyline,Football,321.8,1.78,Monthly,3,Home > Sports,True,True,True,False,False
5269,2025-01-15 19:27:39.005337,iOS,68.74,Live Bets,Scroll,Multiple Losses,374.29,7.65,"London, UK",German,Social Media,Returning,False,No Bet,Over/Under,Basketball,360.57,4.17,Daily,3,Sports > Bet History,True,False,True,True,True
5236,2025-01-12 19:27:39.005367,Android,118.03,Home,Logout,No Bets,80.66,9.18,"Sydney, Australia",English,Direct,Returning,True,Loss,Moneyline,Baseball,120.81,2.64,Weekly,3,Live Bets > Results,False,False,False,False,False
